Date,Amount,Impressions,Clicks
2024-03-13,50940.180899999985,556568.0,4166.0
2024-03-14,50497.92013800001,558776.0,4158.0
2024-03-15,50680.02000599993,570954.0,3983.0
2024-03-16,49617.88999700001,553946.0,3946.0
2024-03-17,53699.700008999964,653228.0,4372.0
2024-03-18,53704.27031300008,654905.0,4352.0
2024-03-01,20031.770006999992,192709.0,1576.0
2024-03-02,19733.820000000018,198421.0,1532.0
2024-03-03,18380.020000000008,184867.0,1345.0
2024-03-04,18786.260001000002,203486.0,1489.0
2024-03-05,19996.720006999996,195377.0,1507.0
2024-03-06,20867.500002999994,213125.0,1553.0
2024-03-07,21147.750002000004,221981.0,1670.0
2024-03-08,20917.260003999992,225548.0,1683.0
2024-03-09,20921.10999999999,242744.0,1811.0
2024-03-10,23222.549998999984,262473.0,2007.0
2024-03-11,23734.040007999993,278202.0,2077.0
2024-03-12,49687.90000199998,553770.0,4094.0
2024-03-19,54728.690876999965,671717.0,4357.0
2024-03-20,26784.291423999992,331484.0,2053.0
