Date,GoogleFormLead,Google_JunkLead,L6_New_Lead,GoogleCallLead,GoogleCallJunkLead,FacebookLead,FacebookJunkLead,FacebookJunkLead
2024-02-01,24,3,24,6,0,80,7,76
2024-02-02,30,11,30,3,0,105,19,102
2024-02-03,22,1,22,5,0,70,17,70
2024-02-04,23,6,23,2,0,99,19,98
2024-02-05,20,7,20,5,0,107,21,102
2024-02-06,25,8,25,3,0,100,12,99
2024-02-07,26,6,26,7,0,79,16,75
2024-02-08,27,6,27,14,0,85,19,83
2024-02-09,20,5,20,7,0,63,14,63
2024-02-10,23,3,23,13,1,93,14,93
2024-02-11,22,4,22,11,2,70,14,70
2024-02-12,24,5,24,13,0,82,12,82
2024-02-13,27,8,27,17,2,65,7,65
2024-02-14,25,6,25,15,0,84,8,82
2024-02-15,20,4,20,9,2,67,8,66
2024-02-16,19,7,19,5,2,83,12,80
2024-02-17,26,4,26,4,1,81,13,81
2024-02-18,28,2,28,3,0,98,16,97
2024-02-19,27,10,27,13,1,57,6,57
2024-02-20,28,3,28,8,0,38,5,37
2024-02-21,24,4,24,15,5,38,3,38
2024-02-22,15,2,15,5,2,27,4,27
2024-02-23,9,2,9,6,2,12,2,12
2024-02-24,16,1,15,3,1,24,2,24
2024-02-25,5,0,5,6,0,21,1,21
2024-02-26,12,3,12,5,2,13,4,13
2024-02-27,10,2,10,6,0,16,3,16
2024-02-28,10,1,10,1,0,19,2,19
2024-02-29,23,5,23,17,8,41,3,40
2024-03-01,29,4,29,7,0,48,2,47
2024-03-02,29,8,29,9,2,39,2,39
2024-03-03,34,5,34,11,4,44,4,42
2024-03-04,30,9,30,26,7,51,1,51
2024-03-05,34,13,34,16,2,54,3,54
2024-03-06,51,21,51,14,2,70,6,70
2024-03-07,21,3,21,13,4,54,6,54
2024-03-08,28,4,28,8,1,61,3,59
2024-03-09,43,12,43,9,4,63,3,63
